                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1489,                0.60788,                 1.0623,                0.94063,                0.92135,                0.96287,                0.65654,                 1.1373,                0.46346,                 1.0384,               0.008053,               0.008053,               0.008053
                     61,                 1.1504,                0.60901,                 1.0655,                0.93768,                0.92461,                0.96232,                0.65671,                 1.1353,                 0.4622,                 1.0375,                0.00802,                0.00802,                0.00802
                     62,                 1.1511,                0.61009,                 1.0637,                0.93941,                 0.9233,                0.96219,                0.65666,                 1.1343,                0.46166,                 1.0365,               0.007987,               0.007987,               0.007987
                     63,                 1.1514,                0.60755,                 1.0643,                0.93914,                0.92465,                0.96234,                0.65711,                 1.1342,                 0.4616,                 1.0362,               0.007954,               0.007954,               0.007954
                     64,                 1.1489,                0.61163,                 1.0618,                0.93885,                0.92436,                0.96232,                0.65728,                 1.1345,                0.46161,                 1.0361,               0.007921,               0.007921,               0.007921
                     65,                 1.1454,                0.60581,                 1.0644,                0.93699,                 0.9259,                0.96234,                0.65728,                 1.1344,                 0.4613,                 1.0361,               0.007888,               0.007888,               0.007888
                     66,                 1.1471,                0.60834,                 1.0644,                0.93316,                0.92915,                0.96285,                0.65756,                 1.1337,                0.46119,                 1.0362,               0.007855,               0.007855,               0.007855
                     67,                 1.1471,                0.60284,                 1.0625,                 0.9306,                0.93167,                 0.9629,                0.65766,                 1.1332,                0.46086,                 1.0359,               0.007822,               0.007822,               0.007822
                     68,                 1.1477,                0.60723,                 1.0624,                0.93797,                 0.9233,                0.96291,                 0.6579,                 1.1332,                0.46021,                 1.0358,               0.007789,               0.007789,               0.007789
                     69,                 1.1466,                0.60486,                 1.0623,                0.93345,                0.92867,                0.96315,                0.65823,                 1.1331,                0.46002,                  1.036,               0.007756,               0.007756,               0.007756
