                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.3043,                0.78906,                 1.2016,                0.93651,                0.90635,                0.95776,                0.62799,                  1.222,                0.54182,                 1.1383,               0.008317,               0.008317,               0.008317
                     53,                 1.3135,                0.79914,                 1.2106,                 0.9385,                 0.9052,                0.95777,                0.62799,                 1.2228,                0.54155,                   1.14,               0.008284,               0.008284,               0.008284
                     54,                 1.3141,                0.79606,                 1.2132,                0.93797,                0.90654,                0.95811,                 0.6297,                 1.2182,                 0.5397,                 1.1386,               0.008251,               0.008251,               0.008251
                     55,                 1.3092,                0.78535,                 1.2052,                0.94156,                0.90351,                0.95728,                0.62927,                 1.2181,                0.53948,                 1.1386,               0.008218,               0.008218,               0.008218
                     56,                 1.3155,                0.78852,                 1.2056,                0.93783,                0.90849,                0.95696,                0.62882,                 1.2214,                0.53928,                 1.1398,               0.008185,               0.008185,               0.008185
                     57,                 1.3088,                0.78342,                    1.2,                0.93931,                0.90846,                0.95674,                0.62922,                 1.2204,                0.53834,                 1.1387,               0.008152,               0.008152,               0.008152
                     58,                 1.3137,                0.79228,                 1.2041,                0.93719,                0.90976,                0.95716,                 0.6289,                 1.2222,                0.53741,                  1.139,               0.008119,               0.008119,               0.008119
                     59,                 1.3015,                0.78396,                 1.1964,                0.93599,                0.91014,                0.95702,                0.62922,                 1.2206,                0.53796,                 1.1382,               0.008086,               0.008086,               0.008086
                     60,                 1.3014,                0.78185,                 1.1958,                0.93515,                0.91017,                0.95704,                0.63072,                 1.2199,                0.53604,                 1.1372,               0.008053,               0.008053,               0.008053
                     61,                 1.3116,                0.78728,                 1.2018,                0.93718,                0.91072,                 0.9579,                0.63092,                 1.2174,                 0.5364,                 1.1359,                0.00802,                0.00802,                0.00802
                     62,                  1.305,                0.78483,                 1.1998,                0.93657,                0.91051,                0.95785,                0.63178,                 1.2156,                0.53553,                 1.1354,               0.007987,               0.007987,               0.007987
                     63,                 1.3061,                0.77672,                 1.2002,                0.93579,                0.91098,                0.95779,                 0.6311,                 1.2158,                0.53447,                 1.1351,               0.007954,               0.007954,               0.007954
                     64,                 1.3104,                0.78502,                 1.2025,                0.93489,                0.91035,                0.95816,                0.63186,                 1.2141,                0.53406,                 1.1343,               0.007921,               0.007921,               0.007921
                     65,                 1.3014,                 0.7784,                 1.2021,                0.93638,                0.91008,                0.95786,                0.63128,                 1.2142,                0.53383,                 1.1342,               0.007888,               0.007888,               0.007888
                     66,                 1.3046,                0.78124,                 1.1973,                0.93823,                0.90869,                0.95799,                 0.6312,                  1.214,                0.53358,                  1.134,               0.007855,               0.007855,               0.007855
                     67,                 1.3068,                0.77865,                 1.2013,                0.93699,                0.90805,                0.95809,                0.63165,                 1.2132,                0.53298,                 1.1338,               0.007822,               0.007822,               0.007822
                     68,                 1.3067,                0.78082,                 1.2032,                0.93532,                0.90962,                0.95804,                 0.6323,                 1.2124,                 0.5328,                 1.1336,               0.007789,               0.007789,               0.007789
                     69,                  1.305,                0.78193,                 1.1997,                0.93784,                0.90834,                0.95785,                0.63177,                 1.2125,                0.53219,                 1.1338,               0.007756,               0.007756,               0.007756
                     70,                 1.3064,                0.78051,                 1.2018,                0.93895,                0.90708,                0.95774,                  0.632,                 1.2147,                0.53243,                 1.1347,               0.007723,               0.007723,               0.007723
                     71,                 1.3052,                0.77857,                  1.197,                 0.9388,                0.90696,                0.95774,                0.63266,                 1.2163,                 0.5328,                 1.1353,                0.00769,                0.00769,                0.00769
                     72,                 1.2965,                0.77508,                 1.2004,                0.93868,                0.90798,                0.95747,                0.63237,                 1.2171,                0.53248,                 1.1356,               0.007657,               0.007657,               0.007657
                     73,                 1.2926,                0.76506,                  1.198,                0.93757,                0.90887,                0.95751,                0.63272,                 1.2181,                0.53219,                 1.1362,               0.007624,               0.007624,               0.007624
                     74,                 1.3059,                0.77982,                 1.1993,                0.93989,                0.90871,                0.95759,                 0.6321,                 1.2183,                0.53287,                 1.1362,               0.007591,               0.007591,               0.007591
                     75,                 1.3048,                 0.7827,                 1.2057,                0.94016,                0.90957,                0.95764,                0.63223,                  1.219,                 0.5324,                 1.1364,               0.007558,               0.007558,               0.007558
                     76,                 1.2915,                0.76973,                 1.1938,                0.93793,                0.91011,                 0.9576,                0.63214,                 1.2196,                0.53255,                 1.1365,               0.007525,               0.007525,               0.007525
                     77,                 1.2952,                0.76475,                 1.1942,                0.93726,                0.91037,                0.95755,                 0.6323,                 1.2191,                0.53208,                 1.1363,               0.007492,               0.007492,               0.007492
                     78,                 1.2972,                0.76775,                 1.1972,                0.93674,                0.91088,                0.95779,                0.63251,                 1.2191,                0.53172,                 1.1363,               0.007459,               0.007459,               0.007459
                     79,                  1.294,                0.77245,                 1.1974,                0.93658,                0.91107,                0.95723,                0.63235,                 1.2191,                0.53191,                 1.1361,               0.007426,               0.007426,               0.007426
                     80,                 1.2924,                0.76368,                 1.1917,                0.93736,                0.91114,                0.95727,                0.63221,                 1.2191,                0.53142,                 1.1362,               0.007393,               0.007393,               0.007393
                     81,                 1.2959,                0.76939,                 1.1955,                0.93654,                0.91126,                 0.9574,                0.63227,                 1.2189,                0.53136,                 1.1361,                0.00736,                0.00736,                0.00736
                     82,                 1.2908,                0.76236,                 1.1942,                0.93634,                0.91112,                0.95736,                0.63222,                 1.2196,                0.53117,                 1.1362,               0.007327,               0.007327,               0.007327
                     83,                  1.295,                0.76667,                 1.1957,                 0.9366,                0.91137,                0.95762,                0.63187,                   1.22,                0.53107,                 1.1364,               0.007294,               0.007294,               0.007294
                     84,                 1.2886,                0.76357,                 1.1912,                0.93715,                0.91124,                0.95772,                0.63206,                 1.2205,                0.53058,                 1.1365,               0.007261,               0.007261,               0.007261
                     85,                 1.2913,                 0.7642,                 1.1962,                0.93885,                0.91002,                0.95767,                0.63164,                 1.2211,                0.53032,                 1.1367,               0.007228,               0.007228,               0.007228
                     86,                 1.2899,                0.76429,                 1.1932,                0.93888,                0.91022,                0.95769,                0.63215,                 1.2221,                0.53033,                 1.1372,               0.007195,               0.007195,               0.007195
                     87,                 1.2892,                0.76651,                 1.1931,                0.93807,                0.91073,                0.95798,                0.63134,                  1.223,                0.53033,                 1.1377,               0.007162,               0.007162,               0.007162
                     88,                 1.2923,                0.76485,                 1.1999,                0.93878,                0.91061,                0.95817,                0.63119,                 1.2236,                 0.5301,                 1.1379,               0.007129,               0.007129,               0.007129
                     89,                 1.2899,                0.76586,                 1.1934,                0.93765,                0.91172,                0.95817,                 0.6311,                 1.2238,                0.52991,                 1.1381,               0.007096,               0.007096,               0.007096
                     90,                 1.2936,                0.76208,                 1.1926,                0.93775,                0.91149,                0.95819,                0.63116,                 1.2233,                 0.5294,                 1.1378,               0.007063,               0.007063,               0.007063
                     91,                 1.2835,                0.75319,                 1.1917,                0.93805,                0.91316,                0.95852,                0.63084,                 1.2234,                0.52918,                 1.1378,                0.00703,                0.00703,                0.00703
                     92,                 1.2919,                0.76336,                 1.1917,                0.93673,                0.91386,                0.95824,                0.63097,                 1.2233,                0.52911,                 1.1377,               0.006997,               0.006997,               0.006997
                     93,                 1.2848,                0.75786,                 1.1889,                0.93586,                 0.9142,                0.95815,                0.63096,                 1.2235,                0.52873,                 1.1377,               0.006964,               0.006964,               0.006964
                     94,                 1.2862,                0.76348,                  1.198,                0.93637,                0.91457,                0.95812,                0.63074,                 1.2239,                0.52869,                 1.1378,               0.006931,               0.006931,               0.006931
                     95,                 1.2909,                0.76106,                 1.1913,                0.93638,                0.91442,                0.95808,                0.63024,                 1.2238,                0.52885,                 1.1377,               0.006898,               0.006898,               0.006898
                     96,                 1.2861,                0.76049,                 1.1897,                0.93619,                  0.914,                0.95848,                0.63094,                 1.2237,                0.52868,                 1.1377,               0.006865,               0.006865,               0.006865
                     97,                 1.2785,                0.74984,                 1.1828,                0.93617,                 0.9135,                0.95851,                0.63097,                 1.2236,                0.52846,                 1.1377,               0.006832,               0.006832,               0.006832
                     98,                   1.29,                0.76281,                 1.1939,                0.93719,                0.91296,                0.95833,                0.63114,                 1.2235,                0.52821,                 1.1375,               0.006799,               0.006799,               0.006799
